# id	left	top	right	bottom	texture_id
[SPRITES]

#short land
61000	208	208	224	223	30
62000	224	208	240	223	30
63000	240	208	256	223	30

#tall land
61001	400	256	416	287	30
62002	416	256	432	287	30
63003	432	256	448	287	30


#trees
67000	16	352	58	416	35
68000	58	352	100	416	35
69000	100	352	142	416	35

#huge trees
67004	817	336	880	400	35
67005	880	336	943	400	35
67006	943	336	1007	400	35

#small trees
67001	160	400	165	416	35
67002	165	400	170	416	35
67003	170	400	175	416	35

#corlor block (pink)
68100	240	368	256	415	35
68200	256	368	272	415	35
68300	272	368	287	415	35

68110	464	336	485	415	35
68120	485	336	506	415	35
68130	506	336	527	415	35

#color block (blue)
68101	272	336	288	415	35
68201	288	336	304	415	35
68301	304	336	320	415	35

#color block (green)
68102	400	368	426	415	35
68202	426	368	452	415	35
68302	452	368	479	415	35


68103	512	384	544	415	35
68203	544	384	576	415	35
68303	576	384	607	415	35

68104	1264	384	1301	415	35
68204	1301	384	1338	415	35
68304	1338	384	1375	415	35

#color block (white)
68010	512	304	533	384	35
68011	533	304	554	384	35
68012	554	304	575	384	35




#pipe(green)
60001	400	144	416	191	30
60002	416	144	432	191	30
60003	432	144	448	191	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
